# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Sep 26 14:36:27 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_disc_reflink: Discovery Reference
#
loc_rowid,pl_hostname,pl_name,pl_pnum,pl_kepflag,ra_str,ra,dec_str,dec,pl_disc_reflink
1,11 Com,11 Com b,1,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,<a refstr=LIU_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...672..553L target=ref> Liu et al. 2008 </a>
2,11 UMi,11 UMi b,1,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,<a refstr=DOLLINGER_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...505.1311D target=ref> Dollinger et al. 2009 </a>
3,14 And,14 And b,1,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,<a refstr=SATO_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60.1317S target=ref> Sato et al. 2008 </a>
4,14 Her,14 Her b,1,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,<a refstr=BUTLER_ET_AL__2003 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2003ApJ...582..455B target=ref> Butler et al. 2003 </a>
5,16 Cyg B,16 Cyg B b,1,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,<a refstr=COCHRAN_ET_AL__1997 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=1997ApJ...483..457C target=ref> Cochran et al. 1997 </a>
6,18 Del,18 Del b,1,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,<a refstr=SATO_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008PASJ...60..539S target=ref> Sato et al. 2008 </a>
7,1RXS J160929.1-210524,1RXS J160929.1-210524 b,1,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,<a refstr=LAFRENIERE_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008ApJ...689L.153L target=ref> Lafreniere et al. 2008 </a>
8,24 Boo,24 Boo b,1,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,<a refstr=TAKARADA_ET_AL__2018 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2018arXiv180404008T target=ref>Takarada et al. 2018</a>
9,24 Sex,24 Sex b,2,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,<a refstr=JOHNSON_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>
10,24 Sex,24 Sex c,2,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,<a refstr=JOHNSON_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010arXiv1007.4552J target=ref> Johnson et al. 2010 </a>
11,2MASS J01225093-2439505,2MASS J01225093-2439505 b,1,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,<a refstr=BOWLER_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013ApJ...774...55B target=ref> Bowler et al. 2013 </a>
12,2MASS J02192210-3925225,2MASS J02192210-3925225 b,1,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,<a refstr=ARTIGAU_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...806..254A target=ref>Artigau et al. 2015</a>
13,2MASS J04414489+2301513,2MASS J04414489+2301513 b,1,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,<a refstr=TODOROV_ET_AL__2010 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2010ApJ...714L..84T target=ref> Todorov et al. 2010 </a>
14,2MASS J12073346-3932539,2MASS J12073346-3932539 b,1,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,<a refstr=CHAUVIN_ET_AL__2004 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2004A&A...425L..29C target=ref> Chauvin et al. 2004 </a>
